total,tpr_recall,precision,accuracy,f1_score,t_pos,f_pos,f_neg,t_neg,auc,time_to_fit
39245,1,1,1,1,181,0,0,39064,1,42.18624302
39343,0.994680851,1,0.999974583,0.997333333,187,1,0,39155,0.997340426,35.17202409
39277,0.994623656,1,0.99997454,0.997304582,185,1,0,39091,0.997317467,35.37975737
39303,1,1,1,1,187,0,0,39116,1,34.74659232
39203,1,0.994623656,0.999974492,0.997304582,185,0,1,39017,1,34.94507979
39220,1,0.994923858,0.999974503,0.997455471,196,0,1,39023,0.999999869,34.9448714
39463,1,0.994871795,0.99997466,0.997429306,194,0,1,39268,1,34.90077293
39202,1,1,1,1,177,0,0,39025,1,34.74193067
39349,0.994623656,0.994623656,0.999949173,0.994623656,185,1,1,39162,0.997301944,34.72667535
39254,0.994285714,0.994285714,0.99994905,0.994285714,174,1,1,39078,0.997150826,34.8565172
39179,0.99408284,0.99408284,0.999948952,0.99408284,168,1,1,39009,0.997033229,34.90530478
39417,0.988826816,1,0.99994926,0.994382022,177,2,0,39238,0.994431205,34.93738306
39278,0.985294118,1,0.999923621,0.992592593,201,3,0,39074,0.992667947,34.65196573
39256,1,0.994285714,0.999974526,0.99713467,174,0,1,39081,0.99713526,34.60755482
39328,1,0.988888889,0.999949146,0.994413408,178,0,2,39148,0.999982995,34.45518241
39389,1,0.994652406,0.999974612,0.997319035,186,0,1,39202,1,34.08826542
39303,1,1,1,1,174,0,0,39129,1,33.81427399
39182,0.994565217,1,0.999974478,0.997275204,183,1,0,38998,0.997290622,34.28910575
39264,0.989010989,1,0.999949063,0.994475138,180,2,0,39082,0.99452124,34.00466337
39300,0.994818653,0.994818653,0.999949109,0.994818653,192,1,1,39106,0.997417077,34.42713621
39297,1,1,1,1,180,0,0,39117,1,34.37301058
39355,0.994011976,0.994011976,0.999949181,0.994011976,166,1,1,39187,0.997014774,34.64119686
39324,1,0.994186047,0.99997457,0.997084548,171,0,1,39152,0.999998581,34.60066109
39472,1,1,1,1,199,0,0,39273,1,34.78100651
39206,0.994652406,0.994652406,0.999948987,0.994652406,186,1,1,39018,0.994665974,34.31508722
39185,1,1,1,1,174,0,0,39011,1,34.58006895
39257,0.994444444,1,0.999974527,0.997214485,179,1,0,39077,0.997222222,34.56902024
39136,1,0.994475138,0.999974448,0.997229917,180,0,1,38955,0.999999929,34.64391097
39384,0.97826087,1,0.999898436,0.989010989,180,4,0,39200,0.983733917,34.47365583
39295,0.994535519,1,0.999974551,0.997260274,182,1,0,39112,0.997275234,34.68825676
39415,0.994871795,1,0.999974629,0.997429306,194,1,0,39220,0.994879183,34.77789328
39609,1,1,1,1,186,0,0,39423,1,34.62797229
39322,0.989071038,0.994505495,0.999923707,0.991780822,181,2,1,39138,0.994550458,34.75834995
39277,1,0.988826816,0.99994908,0.994382022,177,0,2,39098,0.999999856,34.30285493
39373,0.988764045,0.994350282,0.999923806,0.991549296,176,2,1,39194,0.994365897,34.52828618
39376,0.989189189,1,0.999949208,0.994565217,183,2,0,39191,0.994612663,34.58270571
39229,0.984126984,1,0.999923526,0.992,186,3,0,39040,0.992086464,34.67306428
39266,1,1,1,1,175,0,0,39091,1,34.57462894
39314,1,1,1,1,179,0,0,39135,1,34.77788356
39265,1,0.994219653,0.999974532,0.997101449,172,0,1,39092,0.999999926,34.90254315
39180,1,0.989010989,0.999948954,0.994475138,180,0,2,38998,0.99999943,34.60241226
39295,0.994152047,1,0.999974551,0.997067449,170,1,0,39124,0.997082899,34.58336941
39263,1,0.994897959,0.999974531,0.997442455,195,0,1,39067,1,34.79035894
39361,0.994413408,0.988888889,0.999923782,0.991643454,178,1,2,39180,0.99721697,34.27649422
39349,1,1,1,1,187,0,0,39162,1,34.08886655
39376,0.988439306,1,0.999949208,0.994186047,171,2,0,39203,0.99424118,34.22541039
39337,1,1,1,1,178,0,0,39159,1,34.62708185
39191,1,0.988888889,0.999948968,0.994413408,178,0,2,39011,0.999999568,34.0423903
39374,0.994535519,1,0.999974603,0.997260274,182,1,0,39191,0.997277868,34.50763555
39379,0.994535519,1,0.999974606,0.997260274,182,1,0,39196,0.997275846,34.29319643
39197,1,0.994413408,0.999974488,0.99719888,178,0,1,39018,0.994396133,33.86911503
39345,0.995,1,0.999974584,0.997493734,199,1,0,39145,0.99750677,34.02100628
39155,1,0.994623656,0.99997446,0.997304582,185,0,1,38969,0.999982592,34.06975787
39271,0.988700565,1,0.999949072,0.994318182,175,2,0,39094,0.994371815,34.35062145
39393,0.994413408,1,0.999974615,0.99719888,178,1,0,39214,0.997212402,33.88797275
39313,1,1,1,1,190,0,0,39123,1,33.95628088
39272,0.994535519,1,0.999974537,0.997260274,182,1,0,39089,0.997276077,33.79652638
39209,1,1,1,1,188,0,0,39021,1,33.85246397
39334,1,1,1,1,195,0,0,39139,1,34.20879843
39424,1,1,1,1,178,0,0,39246,1,33.93242824
39322,0.994444444,0.994444444,0.999949138,0.994444444,179,1,1,39141,0.9972301,34.05989629
39114,1,1,1,1,190,0,0,38924,1,33.98987501
39356,1,1,1,1,196,0,0,39160,1,33.67765302
39363,1,1,1,1,183,0,0,39180,1,33.90562363
39362,1,0.994923858,0.999974595,0.997455471,196,0,1,39165,0.999999935,33.92478424
39075,0.994594595,0.989247312,0.999923225,0.991913747,184,1,2,38888,0.997270958,33.72245622
39234,0.983695652,1,0.999923536,0.991780822,181,3,0,39050,0.991867659,33.75741806
39334,0.994652406,0.994652406,0.999949153,0.994652406,186,1,1,39146,0.997334399,33.97244268
39309,1,1,1,1,190,0,0,39119,1,34.36812116
39318,0.994475138,1,0.999974566,0.997229917,180,1,0,39137,0.997246463,34.24564494
39246,0.994845361,1,0.99997452,0.997416021,193,1,0,39052,0.997428422,34.2959003
39174,1,1,1,1,171,0,0,39003,1,34.42702696
39258,1,1,1,1,186,0,0,39072,1,34.49439096
39319,0.994680851,0.994680851,0.999949134,0.994680851,187,1,1,39130,0.99734029,34.64122055
39368,1,0.994535519,0.999974599,0.997260274,182,0,1,39185,1,34.6521122
39276,0.994475138,1,0.999974539,0.997229917,180,1,0,39095,0.99724513,34.59854992
39131,0.994535519,1,0.999974445,0.997260274,182,1,0,38948,0.997275757,33.7773001
39353,1,1,1,1,196,0,0,39157,0.994913595,34.12977353
39346,0.983333333,0.994382022,0.999898338,0.988826816,177,3,1,39165,0.991666383,33.94414717
39201,1,1,1,1,182,0,0,39019,0.997262675,34.00258471
39493,1,1,1,1,191,0,0,39302,1,33.83426437
39306,0.994623656,1,0.999974559,0.997304582,185,1,0,39120,0.994630459,33.9688902
39385,0.994623656,1,0.99997461,0.997304582,185,1,0,39199,0.997319989,34.09402766
39324,1,1,1,1,183,0,0,39141,1,33.96806017
39246,0.994535519,1,0.99997452,0.997260274,182,1,0,39063,0.997285036,34.25161666
39337,0.994318182,1,0.999974579,0.997150997,175,1,0,39161,0.997168377,34.00690409
39308,0.994117647,0.994117647,0.99994912,0.994117647,169,1,1,39137,0.997050557,34.11914979
39351,0.994594595,1,0.999974588,0.997289973,184,1,0,39166,0.994606878,34.17910274
39352,1,1,1,1,179,0,0,39173,1,34.44964727
39289,0.994764398,1,0.999974548,0.997375328,190,1,0,39098,0.997389028,34.61118219
39227,1,1,1,1,180,0,0,39047,0.997231541,34.4843148
39416,1,1,1,1,181,0,0,39235,1,34.39162998
39363,0.994736842,0.994736842,0.999949191,0.994736842,189,1,1,39172,0.997360158,34.40871645
39330,1,0.994444444,0.999974574,0.997214485,179,0,1,39150,0.999999643,34.55493427
39154,1,0.988764045,0.99994892,0.994350282,176,0,2,38976,0.991504677,34.31418178
39253,1,0.994791667,0.999974524,0.997389034,191,0,1,39061,1,34.55341872
39234,1,1,1,1,179,0,0,39055,0.997216789,34.26943921
39171,0.994708995,1,0.999974471,0.99734748,188,1,0,38982,0.997363659,34.00656432
39244,1,0.994818653,0.999974518,0.997402597,192,0,1,39051,0.994810005,34.49788777
39224,0.994565217,1,0.999974505,0.997275204,183,1,0,39040,0.997290683,34.44814248